30 65
3 17 34
5 6 37
14 20 13
3 16 77
9 9 57
25 20 75
25 22 33
28 29 1
20 25 33
27 18 69
18 21 58
16 13 81
2 6 97
10 1 12
29 21 33
24 21 5
0 7 95
27 9 80
29 27 20
9 14 16
6 6 86
6 26 13
15 7 3
11 19 62
8 6 5
1 6 52
6 22 8
0 1 75
29 10 60
29 9 77
8 17 7
17 9 31
26 5 68
5 25 16
20 12 61
11 17 11
0 27 30
3 7 77
3 29 15
18 27 37
8 5 41
19 23 47
28 29 2
21 26 36
16 26 17
0 25 38
22 23 1
15 6 7
25 19 39
27 23 53
15 23 57
19 22 27
25 19 30
7 2 37
12 15 35
5 1 74
3 25 69
22 24 19
3 0 99
10 11 14
22 4 10
2 0 39
3 4 77
21 15 29
0 3 95
